Name,Equat,Polar,BlueF,GreenF,RedF,Size,RadialVelocity
BackDG0324,8.5994,118.1199,1.486e-17,1.091e-17,5.665e-18,68.9655,-771.46
BackDG0432,349.4874,123.7519,2.906e-17,2.338e-17,1.01e-17,213.3213,-457.45
BackDG0433,349.8113,123.8077,4.596e-17,3.4e-17,1.486e-17,88.1001,-457.85
BackDG0434,349.6649,123.4558,4.663e-17,3.615e-17,1.744e-17,95.587,-457.84
BackDG0435,349.2934,124.0265,3.745e-17,3.204e-17,1.43e-17,99.3717,-457.47
BackDG0436,349.4367,123.602,4.274e-17,3.825e-17,1.608e-17,97.4193,-457.56
BackDG0437,349.631,123.7034,4.007e-17,3.193e-17,1.42e-17,84.7398,-457.78
BackDG0438,349.697,123.6439,6.666e-17,4.931e-17,1.865e-17,95.8051,-457.65
BackDG0466,39.3572,87.1189,2.149e-17,1.74e-17,7.173e-18,96.3008,-489.41
BackDG0467,39.5037,86.959,3.294e-17,2.622e-17,1.21e-17,83.3627,-489.68
BackDG0468,39.3336,86.9403,3.401e-17,2.451e-17,1.212e-17,84.2443,-489.56
BackDG0469,39.33,86.8274,3.138e-17,2.459e-17,1.13e-17,74.1087,-489.59
BackDG0477,37.0995,73.8483,3.909e-17,3.223e-17,1.113e-17,214.181,-711.36
BackDG0478,37.1899,73.7958,2.211e-17,1.564e-17,6.748e-18,50.4066,-711.64
BackDG0479,37.1287,73.9094,1.512e-17,1.352e-17,6.443e-18,58.4365,-711.28
BackDG0480,36.8779,73.7146,2.092e-17,1.57e-17,7.116e-18,59.2376,-711.7
BackDG0481,37.0113,74.0641,1.514e-17,1.289e-17,5.673e-18,68.9413,-711.45
BackDG0482,36.9855,73.7298,1.617e-17,1.318e-17,6.27e-18,67.0695,-711.25
BackDG0483,36.936,73.7211,1.533e-17,1.239e-17,5.453e-18,51.6253,-711.67
BackDG0484,36.8617,73.6973,1.653e-17,1.345e-17,6.251e-18,58.0767,-711.3
BackDG0485,36.965,73.7299,2.067e-17,1.624e-17,7.456e-18,58.4024,-711.51
BackDG0486,37.0789,73.7565,1.635e-17,1.296e-17,5.834e-18,55.5681,-711.32
BackDG0487,36.9506,73.7885,1.56e-17,1.294e-17,6.143e-18,65.6403,-711.3
BackDG0497,13.669,110.4195,2.086e-17,1.594e-17,7.68e-18,120.9954,-508.36
BackDG0498,13.852,110.4682,3.081e-17,2.587e-17,1.147e-17,79.4692,-508.16
BackDG0499,13.4973,110.371,2.994e-17,2.427e-17,1.039e-17,67.9086,-508.2
BackDG0500,13.8269,110.4644,3.085e-17,2.241e-17,1.11e-17,75.5142,-508.41
BackDG0501,13.7608,110.5246,2.955e-17,2.465e-17,1.061e-17,75.7603,-508.54
BackDG0502,13.6402,110.722,3.101e-17,2.482e-17,1.146e-17,84.9928,-508.46
BackDG0503,13.7026,110.5345,4.373e-17,3.565e-17,1.332e-17,84.3195,-508.14
BackDG0504,13.7888,110.6992,2.851e-17,2.492e-17,1.086e-17,77.3076,-508.4
BackDG0505,13.8932,110.4775,2.998e-17,2.203e-17,9.998e-18,71.9954,-508.12
BackDG0513,30.0756,60.0445,9.019e-17,7.538e-17,2.227e-17,317.6478,-431.5
BackDG0514,30.0415,59.7378,3.421e-17,2.763e-17,1.193e-17,70.9877,-431.33
BackDG0515,29.9434,60.2257,3.256e-17,2.644e-17,1.279e-17,88.5649,-431.33
BackDG0516,30.4439,60.1488,3.681e-17,2.914e-17,1.353e-17,83.1577,-431.05
BackDG0517,30.1454,60.465,2.424e-17,1.816e-17,8.879e-18,141.5155,-431.07
BackDG0518,29.9579,60.4409,3.607e-17,2.771e-17,1.272e-17,88.4404,-431.18
BackDG0519,29.4949,60.0142,3.624e-17,2.86e-17,1.16e-17,91.8035,-431.33
BackDG0520,29.8889,60.4702,3.605e-17,2.609e-17,1.114e-17,79.8679,-431.24
BackDG0521,30.3077,60.1807,2.785e-17,2.164e-17,9.265e-18,137.1595,-431.33
BackDG0522,29.5422,60.2225,2.38e-17,1.906e-17,9.087e-18,87.1941,-431.03
BackDG0523,30.4183,60.1028,3.706e-17,3.115e-17,1.248e-17,89.0268,-431.15
BackDG0524,29.7684,59.7985,3.747e-17,2.855e-17,1.35e-17,97.3865,-431.3
BackDG0525,29.8884,60.1285,3.433e-17,2.875e-17,1.2e-17,98.2545,-431.46
BackDG0526,29.6177,59.8428,4.888e-17,3.897e-17,1.459e-17,99.0168,-430.88
BackDG0527,30.2318,59.9691,3.243e-17,2.568e-17,1.074e-17,73.708,-431.12
BackDG0528,30.5576,59.8482,3.548e-17,3.081e-17,1.307e-17,84.7322,-431.22
BackDG0552,40.5155,68.1806,1.604e-17,1.309e-17,6.168e-18,98.7096,-604.72
BackDG0553,40.5812,68.1643,2.329e-17,1.858e-17,8.982e-18,63.4085,-604.82
BackDG0554,40.6305,68.1027,2.114e-17,2.087e-17,8.23e-18,63.9504,-604.89
BackDG0555,40.4615,68.2701,2.567e-17,1.856e-17,8.459e-18,69.468,-604.47
BackDG0556,40.529,68.0699,2.294e-17,1.591e-17,7.797e-18,66.511,-604.73
BackDG0675,347.457,111.6873,3.564e-17,2.863e-17,9.32e-18,111.5182,-766.81
BackDG0676,347.2572,112.1772,1.116e-17,1.016e-17,4.967e-18,44.3818,-766.27
BackDG0677,347.0046,111.6968,7.858e-18,6.526e-18,3.097e-18,63.8573,-766.91
BackDG0678,347.8694,111.4554,1.334e-17,9.924e-18,4.553e-18,50.5593,-766.58
BackDG0679,347.6266,111.754,1.382e-17,1.12e-17,5.652e-18,52.575,-766.87
BackDG0680,347.1656,111.5098,1.857e-17,1.515e-17,6.027e-18,44.8001,-766.57
BackDG0681,347.7549,111.8184,1.324e-17,1.124e-17,4.978e-18,50.9921,-766.82
BackDG0682,347.7153,112.0979,1.332e-17,1.092e-17,5.005e-18,52.7127,-766.56
BackDG0683,347.0355,111.7185,1.132e-17,1.029e-17,4.451e-18,49.3318,-766.78
BackDG0684,347.8361,111.8681,1.345e-17,1.215e-17,5.144e-18,54.0125,-766.75
BackDG0685,347.5188,111.4088,7.793e-18,6.703e-18,3.385e-18,66.1409,-766.75
BackDG0686,347.5946,111.3213,1.321e-17,1.077e-17,4.599e-18,44.349,-766.38
BackDG0687,347.1786,112.012,9.096e-18,7.415e-18,3.775e-18,55.6159,-766.52
BackDG0688,347.0159,111.9018,1.294e-17,1.014e-17,4.683e-18,66.3618,-766.81
BackDG0689,347.839,111.8609,1.105e-17,1.103e-17,4.756e-18,49.5133,-766.52
BackDG0690,347.1582,111.8635,9.032e-18,7.244e-18,3.217e-18,62.5823,-766.55
BackDG0691,347.417,111.7556,1.425e-17,1.183e-17,5.638e-18,54.3552,-766.92
BackDG0692,347.4081,111.5071,1.257e-17,9.489e-18,4.649e-18,44.4043,-766.84
BackDG0693,347.3732,111.7227,8.654e-18,7.033e-18,3.355e-18,49.6411,-766.34
BackDG0694,347.421,111.5728,1.876e-17,1.453e-17,6.122e-18,49.1175,-766.51
BackDG0695,347.3834,111.4832,1.064e-17,9.686e-18,4.636e-18,46.3812,-766.5
BackDG0696,347.3459,111.2378,1.343e-17,1.155e-17,5.727e-18,56.5609,-766.72
BackDG0697,347.2731,111.8439,1.328e-17,9.594e-18,5.124e-18,50.8456,-766.78
BackDG0698,347.6417,111.5766,9.601e-18,8.186e-18,3.607e-18,91.7139,-766.39
BackDG0699,347.5979,112.1401,1.398e-17,1.123e-17,5.648e-18,50.4962,-766.6
BackDG0700,347.6211,111.4905,8.994e-18,7.824e-18,3.707e-18,86.3741,-766.47
BackDG0701,347.6691,112.0653,1.31e-17,1.13e-17,5.604e-18,63.0916,-766.62
BackDG0702,347.4523,111.7126,1.104e-17,1.019e-17,4.3e-18,45.8829,-766.73
BackDG0703,347.6951,111.4748,1.246e-17,1.083e-17,4.741e-18,52.1379,-766.53
BackDG0716,325.0878,95.7552,1.707e-17,1.403e-17,6.326e-18,118.7671,-572.53
BackDG0717,325.103,95.7643,1.562e-17,1.351e-17,5.783e-18,79.3796,-572.79
BackDG0718,325.0461,95.9266,2.544e-17,1.997e-17,9.144e-18,75.7506,-572.7
BackDG0719,324.9637,95.7755,2.123e-17,1.801e-17,8.741e-18,66.5587,-572.65
BackDG0720,325.1184,95.8919,2.786e-17,1.912e-17,9.589e-18,66.274,-572.68
BackDG0721,325.1184,95.6517,2.634e-17,1.989e-17,9.573e-18,87.7459,-572.48
BackDG0746,26.3499,90.0869,1.134e-17,9.307e-18,4.533e-18,117.6818,-632.87
BackDG0747,26.4137,90.2685,1.631e-17,1.331e-17,6.192e-18,52.0155,-632.84
BackDG0748,26.5108,90.0302,1.693e-17,1.341e-17,6.632e-18,50.4006,-632.94
BackDG0749,26.4722,90.0543,1.134e-17,1.018e-17,4.109e-18,75.3256,-632.85
BackDG0750,26.2268,90.072,1.627e-17,1.314e-17,6.335e-18,64.1249,-632.8
BackDG0751,26.2699,90.2345,1.95e-17,1.552e-17,7.171e-18,57.1141,-632.93
BackDG0752,26.4562,90.2268,1.956e-17,1.581e-17,7.272e-18,64.9045,-632.75
BackDG0768,13.1224,113.8489,4.131e-17,3.202e-17,1.107e-17,89.1523,-720.58
BackDG0769,13.6375,113.6671,9.655e-18,7.706e-18,3.885e-18,88.8655,-720.36
BackDG0770,12.6906,114.0123,1.57e-17,1.203e-17,5.306e-18,62.4989,-720.81
BackDG0771,13.1877,113.4641,1.004e-17,7.769e-18,3.785e-18,86.2717,-720.77
BackDG0772,12.7679,114.0264,1.475e-17,1.26e-17,5.669e-18,50.6786,-720.67
BackDG0773,13.1279,114.5184,1.595e-17,1.196e-17,5.781e-18,77.1387,-720.75
BackDG0774,13.4704,114.0213,1.494e-17,1.261e-17,5.993e-18,51.1682,-720.56
BackDG0775,13.8741,113.732,1.06e-17,8.013e-18,4.428e-18,54.322,-720.57
BackDG0776,13.1315,113.7866,9.711e-18,7.935e-18,3.842e-18,110.4244,-720.55
BackDG0777,13.3067,113.8553,1.63e-17,1.357e-17,6.302e-18,60.0406,-720.52
BackDG0778,13.3501,114.2553,1.465e-17,1.179e-17,5.714e-18,45.4601,-720.77
BackDG0779,13.0402,113.9837,1.459e-17,1.176e-17,5.283e-18,51.5182,-720.73
BackDG0780,12.8389,113.5402,1.421e-17,1.137e-17,4.993e-18,52.845,-720.78
BackDG0781,12.6812,113.5146,1.706e-17,1.324e-17,5.942e-18,59.4304,-720.49
BackDG0782,13.2788,113.3412,1.07e-17,9.489e-18,4.077e-18,67.0345,-720.59
BackDG0783,13.2271,114.2269,8.792e-18,7.57e-18,3.444e-18,75.8346,-720.36
BackDG0784,13.8136,113.6953,2.135e-17,1.721e-17,7.924e-18,53.3227,-720.64
BackDG0785,12.9075,113.9872,9.488e-18,8.19e-18,3.648e-18,112.0593,-720.54
BackDG0786,13.2241,113.8577,1.161e-17,8.302e-18,4.135e-18,123.4315,-720.78
BackDG0787,12.5585,113.7551,1.569e-17,1.188e-17,5.822e-18,62.9105,-720.54
BackDG0788,13.444,113.8968,1.488e-17,1.284e-17,5.554e-18,51.6621,-720.72
BackDG0789,13.7352,113.4299,1.677e-17,1.211e-17,6.132e-18,56.9723,-720.91
BackDG0790,12.5779,114.3384,1.406e-17,1.287e-17,4.863e-18,52.1887,-720.67
BackDG0791,13.5507,114.2924,1.46e-17,1.064e-17,5.173e-18,45.9155,-720.82
BackDG0792,13.4843,114.2233,1.581e-17,1.258e-17,5.663e-18,57.8827,-720.89
BackDG0793,13.0316,113.7494,1.327e-17,1.197e-17,5.183e-18,50.9322,-720.5
BackDG0794,12.6386,113.5041,1.478e-17,1.236e-17,5.553e-18,47.3755,-720.8
BackDG0795,13.3325,114.0033,1.024e-17,8.289e-18,3.773e-18,80.705,-720.84
BackDG0796,12.9363,113.7075,1.047e-17,9.27e-18,3.897e-18,53.5889,-720.81
BackDG0797,12.7202,114.1411,2.026e-17,1.664e-17,7.486e-18,60.4341,-720.51
BackDG0798,12.7079,113.9437,1.532e-17,1.278e-17,5.884e-18,64.7384,-720.73
BackDG0799,13.5993,113.619,2.146e-17,1.665e-17,6.56e-18,57.7168,-720.59
BackDG0800,12.8326,113.3745,1.342e-17,1.195e-17,5.337e-18,47.6851,-720.54
BackDG0801,12.9806,114.3075,2.088e-17,1.699e-17,6.381e-18,60.1439,-720.43
BackDG0802,13.3999,114.4801,1.624e-17,1.355e-17,6.133e-18,63.7891,-720.68
BackDG0831,348.3774,95.3321,9.974e-18,8.094e-18,3.457e-18,65.0151,-823.49
BackDG0863,321.8194,115.2909,1.216e-17,1.08e-17,5.031e-18,98.6961,-645.43
BackDG0864,321.7259,115.2148,1.756e-17,1.489e-17,6.615e-18,62.6106,-645.22
BackDG0865,321.8648,115.2918,1.634e-17,1.361e-17,6.033e-18,61.408,-645.35
BackDG0866,321.7811,115.2511,1.734e-17,1.547e-17,7.219e-18,46.7231,-645.46
BackDG0867,321.9196,115.4018,1.866e-17,1.414e-17,6.945e-18,70.1595,-645.43
BackDG0868,321.6675,115.2082,1.614e-17,1.338e-17,6.225e-18,63.9787,-645.12
BackDG0959,28.8841,80.5974,5.363e-17,4.246e-17,1.318e-17,94.857,-658.08
BackDG0960,28.7359,80.7651,1.746e-17,1.482e-17,6.716e-18,58.1677,-658.25
BackDG0961,28.9602,80.4771,2.083e-17,1.571e-17,7.502e-18,66.7024,-658.17
BackDG0962,28.8222,80.6044,1.35e-17,1.123e-17,5.247e-18,61.2355,-658.42
BackDG0963,29.0109,80.4589,2.129e-17,1.728e-17,7.43e-18,64.6569,-657.83
BackDG0964,28.9153,80.8095,2.471e-17,2.113e-17,8.753e-18,60.5059,-657.97
BackDG0965,28.8649,80.3411,1.757e-17,1.42e-17,6.152e-18,53.1645,-658.11
BackDG0966,28.9106,80.4809,1.782e-17,1.456e-17,6.96e-18,54.1189,-657.81
BackDG0967,28.8905,80.4674,1.839e-17,1.553e-17,7.66e-18,63.0141,-658.04
BackDG0968,28.9284,80.3262,2.025e-17,1.622e-17,6.871e-18,60.6328,-658.04
BackDG1056,342.8915,111.8285,9.678e-18,8.998e-18,3.823e-18,63.7793,-826.55
BackDG1067,9.2048,82.009,3.636e-17,2.561e-17,9.588e-18,109.6614,-857.81
BackDG1068,9.1666,81.9339,1.225e-17,9.701e-18,4.495e-18,39.8357,-857.56
BackDG1069,9.3788,81.982,1.759e-17,1.505e-17,6.18e-18,47.7794,-857.53
BackDG1070,9.1585,82.0819,1.298e-17,1.045e-17,4.804e-18,53.9566,-857.68
BackDG1071,9.2449,82.062,1.285e-17,1.057e-17,4.666e-18,51.3909,-858.0
BackDG1072,9.2864,81.986,1.246e-17,9.839e-18,4.576e-18,48.3787,-857.57
BackDG1073,9.296,81.862,9.054e-18,7.842e-18,3.353e-18,47.8753,-858.12
BackDG1074,9.083,82.1072,1.162e-17,9.6e-18,4.275e-18,42.9473,-857.86
BackDG1075,9.0109,82.0081,1.536e-17,1.54e-17,5.852e-18,43.045,-857.81
BackDG1076,9.1608,81.9805,1.402e-17,1.21e-17,5.102e-18,54.4797,-857.63
BackDG1077,9.3592,82.067,1.113e-17,9.379e-18,4.585e-18,47.2289,-858.1
BackDG1194,318.0359,65.4027,6.783e-18,5.722e-18,2.735e-18,87.4116,-930.16
BackDG1195,317.932,65.3588,1.016e-17,8.066e-18,3.698e-18,39.5976,-929.99
BackDG1196,318.034,65.3808,1.014e-17,8.215e-18,3.767e-18,38.2901,-929.99
BackDG1197,318.1627,65.3974,9.362e-18,8.15e-18,3.607e-18,42.5096,-929.98
BackDG1198,318.0536,65.4233,1.421e-17,1.126e-17,4.736e-18,49.5067,-929.92
BackDG1199,318.0369,65.5075,9.321e-18,8.32e-18,3.866e-18,40.0578,-930.01
BackDG1200,318.0944,65.3108,1.373e-17,1.175e-17,4.766e-18,40.491,-929.88
BackDG1208,19.3657,74.7222,7.033e-18,6.423e-18,2.772e-18,48.157,-868.89
BackDG1218,325.6832,77.3221,1.142e-17,1.017e-17,4.203e-18,94.0958,-683.24
BackDG1219,325.7307,77.2782,1.517e-17,1.372e-17,5.702e-18,51.8032,-683.0
BackDG1220,325.5723,77.2462,1.66e-17,1.4e-17,6.024e-18,50.2107,-683.35
BackDG1221,325.7184,77.4385,1.263e-17,9.882e-18,4.23e-18,74.0061,-683.21
BackDG1222,325.655,77.3809,1.628e-17,1.297e-17,6.184e-18,54.0953,-683.11
BackDG1244,330.1304,116.8966,4.904e-17,3.385e-17,1.18e-17,156.0529,-698.48
BackDG1245,329.8913,117.3076,1.652e-17,1.324e-17,6.186e-18,57.4987,-698.36
BackDG1246,329.952,116.7534,1.683e-17,1.257e-17,5.794e-18,52.6692,-698.43
BackDG1247,329.746,117.0873,1.077e-17,9e-18,4.105e-18,84.563,-698.28
BackDG1248,329.7592,117.3892,1.72e-17,1.362e-17,5.297e-18,45.9937,-698.01
BackDG1249,329.7212,116.5409,1.572e-17,1.315e-17,6.922e-18,67.586,-698.29
BackDG1250,329.9585,117.5099,1.644e-17,1.333e-17,6.361e-18,57.2977,-698.33
BackDG1251,329.6069,117.1052,1.126e-17,9.316e-18,3.414e-18,73.0291,-698.42
BackDG1252,329.9375,116.744,1.817e-17,1.377e-17,6.806e-18,68.9635,-698.23
BackDG1253,329.6531,117.1186,1.135e-17,8.483e-18,4.295e-18,75.0963,-698.54
BackDG1254,330.1226,116.8303,1.051e-17,9.411e-18,4.368e-18,65.0197,-698.32
BackDG1255,329.5845,116.9386,1.091e-17,8.571e-18,3.711e-18,68.5204,-698.44
BackDG1256,329.945,116.4278,1.115e-17,9.357e-18,4.647e-18,62.6669,-698.38
BackDG1257,329.7259,117.2425,1.602e-17,1.391e-17,6.561e-18,66.3401,-698.21
BackDG1258,330.0237,117.3956,1.551e-17,1.284e-17,6.179e-18,55.6139,-698.42
BackDG1259,329.802,117.165,1.617e-17,1.277e-17,5.802e-18,52.7819,-698.07
BackDG1260,330.4188,116.6754,1.353e-17,1.366e-17,5.87e-18,55.3071,-698.33
BackDG1261,329.8328,116.8475,1.087e-17,8.67e-18,3.699e-18,68.5893,-698.17
BackDG1262,329.9517,116.957,1.09e-17,8.314e-18,4.179e-18,106.4718,-698.34
BackDG1263,330.6679,116.8986,1.564e-17,1.341e-17,5.726e-18,45.777,-698.42
BackDG1264,329.975,117.1042,1.268e-17,9.28e-18,4.282e-18,111.2349,-698.1
BackDG1265,330.1849,117.0488,1.622e-17,1.358e-17,6.073e-18,66.2087,-698.3
BackDG1266,330.3089,117.0051,1.045e-17,9.019e-18,3.921e-18,119.1362,-698.45
BackDG1267,329.6461,117.1165,1.772e-17,1.489e-17,6.471e-18,66.0785,-698.32
BackDG1268,330.0031,116.6721,1.131e-17,8.846e-18,3.945e-18,72.1572,-698.43
BackDG1269,330.5587,116.7087,1.227e-17,8.563e-18,4.542e-18,65.776,-698.09
BackDG1348,327.7287,102.2853,2.787e-15,1.987e-15,6.862e-16,1020.4384,-90.54
BackDG1349,330.1747,105.2103,7.398e-16,6.159e-16,2.454e-16,698.1332,-90.72
BackDG1350,326.6034,104.8159,1.005e-15,8.933e-16,3.81e-16,528.1227,-90.53
BackDG1351,327.6136,104.8559,1.179e-15,8.499e-16,3.707e-16,577.6738,-90.82
BackDG1352,328.3917,106.0327,8.44e-16,7.629e-16,2.994e-16,547.7007,-90.87
BackDG1353,329.018,107.1711,1.341e-15,1.036e-15,4.099e-16,514.8926,-90.69
BackDG1354,323.9089,101.3307,1.409e-15,9.407e-16,3.898e-16,444.6629,-90.36
BackDG1355,326.6163,99.9496,1.086e-15,8.587e-16,3.462e-16,490.7898,-90.27
BackDG1356,326.9758,98.8859,8.741e-16,7.229e-16,3.199e-16,487.4187,-90.2
BackDG1357,323.0813,101.9948,6.592e-16,5.605e-16,2.549e-16,719.1283,-90.44
BackDG1358,325.1091,101.2135,9.586e-16,7.92e-16,3.438e-16,474.9119,-90.07
BackDG1359,322.8322,103.0299,1.047e-15,9.659e-16,4.002e-16,489.6422,-90.69
BackDG1360,331.0476,102.1834,6.451e-16,5.375e-16,2.494e-16,411.4307,-90.89
BackDG1361,326.3584,100.6629,1.201e-15,9.133e-16,4.096e-16,524.2483,-90.8
BackDG1362,328.1716,100.7848,9.459e-16,7.087e-16,3.621e-16,509.2673,-90.26
BackDG1363,325.9006,101.7828,6.065e-16,4.653e-16,2.047e-16,639.835,-90.37
BackDG1364,325.1843,105.8292,1.07e-15,8.901e-16,4.229e-16,544.8586,-90.85
BackDG1365,331.9453,101.5684,9.953e-16,8.195e-16,3.367e-16,635.502,-90.79
BackDG1366,324.1649,98.7178,1.454e-15,1.059e-15,4.135e-16,588.5217,-90.21
BackDG1367,327.181,99.2722,1.255e-15,1.023e-15,3.962e-16,651.8682,-90.65
BackDG1368,329.6685,98.0952,1.145e-15,9.496e-16,3.853e-16,487.7577,-90.68
BackDG1369,328.5662,102.4836,1.18e-15,1.032e-15,3.887e-16,423.8977,-90.66
BackDG1370,330.6629,103.1679,8.038e-16,7.091e-16,2.894e-16,880.6492,-90.62
BackDG1371,325.7603,102.5337,6.79e-16,5.168e-16,2.104e-16,631.4661,-90.41
BackDG1372,327.528,103.0896,1.22e-15,9.702e-16,4.473e-16,533.7139,-90.18
BackDG1373,331.4198,98.2596,1.179e-15,9.157e-16,4.283e-16,602.1852,-90.7
BackDG1450,39.3751,126.721,8.31e-18,7.599e-18,3.334e-18,53.4222,-816.91
BackDG1454,336.0547,64.3743,4.435e-16,3.103e-16,1.11e-16,597.6403,-153.8
BackDG1455,336.3213,63.8993,1.609e-16,1.271e-16,5.521e-17,220.4808,-154.17
BackDG1456,336.6601,64.9746,1.185e-16,8.958e-17,3.955e-17,325.2964,-153.62
BackDG1457,335.8905,64.4396,1.645e-16,1.373e-16,5.806e-17,186.6226,-154.11
BackDG1458,336.8777,64.8943,1.868e-16,1.45e-16,6.32e-17,227.1231,-153.71
BackDG1459,334.8439,63.8092,1.696e-16,1.333e-16,5.793e-17,152.1524,-154.09
BackDG1460,335.307,63.7658,1.576e-16,1.541e-16,5.763e-17,201.9672,-153.92
BackDG1461,336.1528,64.133,1.631e-16,1.425e-16,6.347e-17,193.4299,-153.78
BackDG1462,336.0896,63.7601,1.577e-16,1.288e-16,5.195e-17,186.813,-154.02
BackDG1463,335.782,63.7247,1.753e-16,1.392e-16,5.937e-17,167.3811,-153.85
BackDG1464,335.3418,63.7889,1.143e-16,9.602e-17,4.387e-17,298.7812,-154.16
BackDG1465,335.527,63.9875,2.284e-16,1.828e-16,7.112e-17,178.682,-153.64
BackDG1466,335.935,63.7748,1.698e-16,1.372e-16,6.116e-17,224.3296,-153.56
BackDG1467,335.0721,63.546,1.882e-16,1.461e-16,6.222e-17,203.0654,-154.04
BackDG1468,337.3326,64.8407,1.588e-16,1.206e-16,5.406e-17,189.84,-153.74
BackDG1469,335.9283,65.4568,1.795e-16,1.496e-16,6.379e-17,188.1202,-153.81
BackDG1470,336.9239,64.759,1.255e-16,1.036e-16,4.179e-17,214.7422,-153.73
LeftDG0023,66.7993,103.1711,7.4e-18,6.85e-18,3.276e-18,49.4458,-1043.63
LeftDG0024,66.7843,103.191,8.293e-18,6.397e-18,2.76e-18,44.2839,-1043.48
LeftDG0025,87.5217,56.3426,4.451e-17,3.035e-17,1.054e-17,193.6445,-788.78
LeftDG0026,87.6257,56.6127,1.549e-17,1.21e-17,6.384e-18,64.1586,-788.9
LeftDG0027,87.4459,56.4156,1.43e-17,1.363e-17,5.876e-18,53.4071,-788.88
LeftDG0028,87.6006,56.2532,1.467e-17,1.16e-17,5.112e-18,46.8001,-788.75
LeftDG0029,87.6029,56.2381,2.083e-17,1.557e-17,7.026e-18,59.604,-788.74
LeftDG0030,87.4441,56.4716,1.404e-17,1.189e-17,5.38e-18,54.0989,-788.92
LeftDG0031,87.5142,56.6556,1.5e-17,1.195e-17,5.472e-18,65.6246,-788.88
LeftDG0032,87.3102,56.2849,1.426e-17,1.137e-17,5.326e-18,56.0214,-788.97
LeftDG0033,87.5001,56.0116,1.347e-17,1.101e-17,5.198e-18,49.1103,-788.76
LeftDG0034,87.4341,56.5214,1.419e-17,1.113e-17,5.257e-18,50.0326,-788.76
LeftDG0035,87.4909,56.5562,1.361e-17,1.134e-17,5.248e-18,53.3032,-788.48
LeftDG0036,87.307,56.5977,1.4e-17,1.105e-17,5.81e-18,59.6901,-788.86
LeftDG0037,87.5684,56.2713,1.354e-17,1.209e-17,5.795e-18,74.3647,-788.81
LeftDG0121,67.4491,109.4756,4.887e-17,3.876e-17,1.068e-17,158.4578,-681.41
LeftDG0122,67.555,109.6147,2.592e-17,1.844e-17,7.265e-18,49.1613,-681.49
LeftDG0123,67.1747,109.5711,1.505e-17,1.313e-17,5.309e-18,53.7189,-681.37
LeftDG0124,67.2633,109.3571,1.586e-17,1.261e-17,5.493e-18,52.2751,-681.37
LeftDG0125,67.5051,109.2333,1.504e-17,1.309e-17,6.156e-18,57.9309,-681.46
LeftDG0126,67.3608,109.4879,1.656e-17,1.266e-17,5.648e-18,46.3856,-681.43
LeftDG0127,67.2966,109.4187,1.734e-17,1.494e-17,6.489e-18,74.5472,-681.51
LeftDG0128,67.4346,109.3632,1.412e-17,1.094e-17,4.799e-18,105.7262,-681.34
LeftDG0129,67.6192,109.458,1.734e-17,1.439e-17,6.737e-18,57.0717,-681.82
LeftDG0130,67.374,109.6429,1.536e-17,1.307e-17,5.635e-18,59.6105,-681.66
LeftDG0131,67.3973,109.4232,1.432e-17,1.355e-17,5.891e-18,57.6418,-681.78
LeftDG0208,60.9845,60.5777,2.212e-17,1.901e-17,8.966e-18,80.9048,-627.61
LeftDG0209,61.0515,60.6229,1.966e-17,1.754e-17,7.032e-18,63.3756,-627.62
LeftDG0260,96.0388,120.5674,5.198e-17,3.658e-17,1.318e-17,156.5518,-631.66
LeftDG0261,95.9488,121.0846,2.53e-17,2.075e-17,8.442e-18,69.0801,-631.76
LeftDG0262,96.6696,120.6662,1.739e-17,1.428e-17,5.78e-18,62.0585,-631.75
LeftDG0263,96.782,121.0246,1.852e-17,1.382e-17,6.268e-18,51.9455,-631.79
LeftDG0264,95.9281,120.3693,1.731e-17,1.282e-17,6.094e-18,55.1029,-631.76
LeftDG0265,96.3362,121.0433,1.699e-17,1.491e-17,6.324e-18,54.0011,-631.36
LeftDG0266,96.9161,120.1986,1.199e-17,1.018e-17,4.408e-18,77.3337,-631.58
LeftDG0267,96.0487,120.8039,1.22e-17,8.746e-18,3.852e-18,75.1299,-631.84
LeftDG0268,96.2755,121.2748,1.642e-17,1.518e-17,7.922e-18,61.676,-631.81
LeftDG0269,95.9335,120.968,1.082e-17,9.464e-18,4.109e-18,78.5614,-631.85
LeftDG0270,96.3125,120.2962,1.608e-17,1.336e-17,5.922e-18,52.3758,-631.63
LeftDG0271,96.0276,120.5418,1.035e-17,8.898e-18,4.259e-18,145.9448,-631.55
LeftDG0272,96.3421,120.593,1.906e-17,1.511e-17,6.763e-18,48.4879,-631.71
LeftDG0273,95.7333,120.1366,1.616e-17,1.312e-17,6.014e-18,46.2603,-631.54
LeftDG0274,95.9217,120.8692,1.21e-17,1.179e-17,4.641e-18,112.5966,-631.81
LeftDG0275,95.6167,120.5323,1.939e-17,1.496e-17,7.55e-18,59.2441,-631.63
LeftDG0276,95.8615,120.1909,1.858e-17,1.486e-17,6.929e-18,69.5182,-631.69
LeftDG0277,95.9784,120.1794,1.492e-17,1.469e-17,5.783e-18,53.4591,-631.9
LeftDG0278,96.6562,120.6831,1.002e-17,9.558e-18,3.844e-18,79.1171,-632.02
LeftDG0279,95.7014,119.9012,1.818e-17,1.342e-17,6.546e-18,51.3872,-631.86
LeftDG0280,96.315,120.4894,1.657e-17,1.368e-17,6.301e-18,55.4298,-631.75
